path,filename,width,height,ratio,is_portrait,ratio_916_ok,ratio_diff,megapixels
assets/luna_stories_assets/10_famille_luna/luna_pere_parking_lunettes_01.png,luna_pere_parking_lunettes_01.png,556,298,1.8658,False,False,1.3033,0.17
assets/luna_stories_assets/episodes/EP01_LA_VILLE_DANS_LA_CHAMBRE/EP01_STORYBOARD_PLANCHE.jpg,EP01_STORYBOARD_PLANCHE.jpg,1440,780,1.8462,False,False,1.2837,1.12
assets/luna_stories_assets/09_decors_paris_la_defense/pack_04_quartiers_paris/PACK04_QUARTIERS_PARIS_PLANCHE_SELECTION.jpg,PACK04_QUARTIERS_PARIS_PLANCHE_SELECTION.jpg,1320,740,1.7838,False,False,1.2213,0.98
assets/luna_stories_assets/04_univers_et_decors/scene_route_brume_dos_personnage_01.jpg,scene_route_brume_dos_personnage_01.jpg,600,337,1.7804,False,False,1.2179,0.2
assets/luna_stories_assets/08_visuels_cles/ep01_insert_cadre_presque_retourne_contenu_cache_01.jpg,ep01_insert_cadre_presque_retourne_contenu_cache_01.jpg,1280,720,1.7778,False,False,1.2153,0.92
assets/luna_stories_assets/03_aby/aby_adulte_bureau_public_realiste_01.png,aby_adulte_bureau_public_realiste_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/03_aby/aby_adulte_reunion_publique_collaborateurs_01.png,aby_adulte_reunion_publique_collaborateurs_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/ep01_aby_entre_bureau_luna_01.png,ep01_aby_entre_bureau_luna_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/ep01_dialogue_luna_aby_cadre_retourne_01.png,ep01_dialogue_luna_aby_cadre_retourne_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/ep01_ecran_iris_workspace_visio_participants_01.png,ep01_ecran_iris_workspace_visio_participants_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/ep01_ecran_yawatch_iris_workspace_nuit_01.png,ep01_ecran_yawatch_iris_workspace_nuit_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/ep01_flashback_porte_entrouverte_chambre_luna_01.png,ep01_flashback_porte_entrouverte_chambre_luna_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/ep01_luna_consulte_historique_yawatch_01.png,ep01_luna_consulte_historique_yawatch_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/ep01_luna_seule_bureau_nuit_cadre_en_main_01.png,ep01_luna_seule_bureau_nuit_cadre_en_main_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/ep01_mains_luna_arrete_aby_cadre_01.png,ep01_mains_luna_arrete_aby_cadre_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/ep01_reflet_aby_observe_luna_vitre_01.png,ep01_reflet_aby_observe_luna_vitre_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/08_visuels_cles/luna_malik_conversation_cafe_la_defense_01.png,luna_malik_conversation_cafe_la_defense_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/09_decors_paris_la_defense/pack_01_yawatch_industries/yawatch_cafeteria_jour_employes_01.png,yawatch_cafeteria_jour_employes_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/09_decors_paris_la_defense/pack_01_yawatch_industries/yawatch_hall_openspace_jour_realiste_sans_logo_01.png,yawatch_hall_openspace_jour_realiste_sans_logo_01.png,1672,941,1.7768,False,False,1.2143,1.57
assets/luna_stories_assets/04_univers_et_decors/decor_chambre_poupee_nuit_01.jpg,decor_chambre_poupee_nuit_01.jpg,1400,800,1.75,False,False,1.1875,1.12
assets/luna_stories_assets/10_famille_luna/luna_pere_appel_nuit_tour_eiffel_01.png,luna_pere_appel_nuit_tour_eiffel_01.png,556,319,1.7429,False,False,1.1804,0.18
